epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3150.39,1.27674,1.49871,1.1603,0.82944,0.75548,0.81737,0.51829,1.30988,1.19954,1.22933,0.000665912,0.000665912,0.000665912
2,10681.9,1.30199,0.90215,1.18819,0.85838,0.85327,0.84275,0.54756,1.22401,0.91069,1.1701,0.00130619,0.00130619,0.00130619
3,17294.4,1.28486,0.80734,1.17451,0.9219,0.86788,0.9212,0.59026,1.27377,0.76283,1.19364,0.00192007,0.00192007,0.00192007
